No, Freq(Hz), Ampt_Trace1(dBm), Ampt_Trace2(dBm), Ampt_Trace3(dBm), Ampt_Trace4(dBm), Ampt_Trace5(dBm), Loc
50, 49057607, -63.92, -63.74, -64.29, 0.00, 0.00,(0 0)
51, 50058599, -63.62, -63.46, -63.85, 0.00, 0.00,(0 0)
52, 51059591, -63.57, -63.56, -63.80, 0.00, 0.00,(0 0)
53, 52060583, -63.77, -63.48, -63.82, 0.00, 0.00,(0 0)
54, 53061575, -63.87, -63.61, -64.17, 0.00, 0.00,(0 0)
55, 54062567, -63.70, -63.67, -64.44, 0.00, 0.00,(0 0)
56, 55063559, -63.33, -63.13, -63.55, 0.00, 0.00,(0 0)
57, 56064551, -62.96, -62.92, -63.09, 0.00, 0.00,(0 0)
58, 57065543, -62.78, -62.70, -63.26, 0.00, 0.00,(0 0)
59, 58066535, -62.85, -62.64, -63.14, 0.00, 0.00,(0 0)
60, 59067527, -62.93, -62.82, -63.30, 0.00, 0.00,(0 0)
61, 60068519, -62.96, -62.90, -63.33, 0.00, 0.00,(0 0)
62, 61069511, -62.69, -62.48, -62.77, 0.00, 0.00,(0 0)
63, 62070503, -62.31, -62.03, -62.45, 0.00, 0.00,(0 0)
64, 63071495, -61.89, -61.34, -62.06, 0.00, 0.00,(0 0)
65, 64072487, -61.71, -61.56, -62.03, 0.00, 0.00,(0 0)
66, 65073479, -61.70, -61.06, -61.85, 0.00, 0.00,(0 0)
67, 66074471, -61.52, -61.26, -61.74, 0.00, 0.00,(0 0)
68, 67075463, -61.20, -60.93, -61.55, 0.00, 0.00,(0 0)
69, 68076455, -60.66, -60.52, -60.82, 0.00, 0.00,(0 0)
70, 69077447, -59.90, -59.61, -59.96, 0.00, 0.00,(0 0)
71, 70078439, -59.14, -58.92, -59.48, 0.00, 0.00,(0 0)
72, 71079431, -58.84, -58.58, -58.85, 0.00, 0.00,(0 0)
73, 72080423, -58.54, -58.23, -58.55, 0.00, 0.00,(0 0)
74, 73081415, -58.12, -58.07, -58.63, 0.00, 0.00,(0 0)
75, 74082407, -57.38, -56.89, -57.47, 0.00, 0.00,(0 0)
76, 75083399, -56.20, -56.18, -56.49, 0.00, 0.00,(0 0)
77, 76084391, -54.72, -54.54, -55.07, 0.00, 0.00,(0 0)
78, 77085383, -54.05, -53.81, -54.15, 0.00, 0.00,(0 0)
79, 78086375, -55.31, -54.98, -55.40, 0.00, 0.00,(0 0)
80, 79087367, -58.05, -57.88, -58.43, 0.00, 0.00,(0 0)
81, 80088359, -60.58, -60.18, -60.82, 0.00, 0.00,(0 0)
82, 81089351, -62.03, -61.71, -62.29, 0.00, 0.00,(0 0)
83, 82090343, -62.55, -62.24, -63.29, 0.00, 0.00,(0 0)
84, 83091335, -62.68, -62.47, -63.08, 0.00, 0.00,(0 0)
85, 84092327, -62.80, -62.74, -63.05, 0.00, 0.00,(0 0)
86, 85093319, -62.78, -61.90, -63.62, 0.00, 0.00,(0 0)
87, 86094311, -62.77, -62.60, -62.97, 0.00, 0.00,(0 0)
88, 87095303, -62.59, -62.54, -62.96, 0.00, 0.00,(0 0)
89, 88096295, -62.30, -61.94, -62.48, 0.00, 0.00,(0 0)
90, 89097287, -53.17, -52.74, -53.39, 0.00, 0.00,(0 0)
91, 90098279, -44.99, -44.39, -45.16, 0.00, 0.00,(0 0)
92, 91099271, -53.06, -52.50, -53.23, 0.00, 0.00,(0 0)
93, 92100263, -55.89, -55.42, -56.14, 0.00, 0.00,(0 0)
94, 93101255, -38.11, -37.30, -38.11, 0.00, 0.00,(0 0)
95, 94102247, -37.86, -37.50, -37.86, 0.00, 0.00,(0 0)
96, 95103239, -42.02, -41.35, -42.02, 0.00, 0.00,(0 0)
97, 96104231, -33.50, -32.96, -33.50, 0.00, 0.00,(0 0)
98, 97105223, -42.00, -41.53, -42.08, 0.00, 0.00,(0 0)
99, 98106215, -57.97, -57.38, -58.07, 0.00, 0.00,(0 0)
100, 99107207, -49.69, -49.02, -49.87, 0.00, 0.00,(0 0)
101, 100108199, -51.47, -50.05, -52.05, 0.00, 0.00,(0 0)
102, 101109191, -41.94, -41.55, -41.95, 0.00, 0.00,(0 0)
103, 102110183, -29.07, -28.85, -29.18, 0.00, 0.00,(0 0)
104, 103111175, -34.00, -33.11, -34.07, 0.00, 0.00,(0 0)
105, 104112167, -56.43, -55.65, -56.43, 0.00, 0.00,(0 0)
106, 105113159, -57.51, -57.47, -57.79, 0.00, 0.00,(0 0)
107, 106114151, -57.00, -56.55, -57.29, 0.00, 0.00,(0 0)
108, 107115143, -56.45, -56.29, -56.91, 0.00, 0.00,(0 0)
109, 108116135, -55.50, -55.45, -56.28, 0.00, 0.00,(0 0)
110, 109117127, -54.42, -54.08, -54.55, 0.00, 0.00,(0 0)
111, 110118119, -52.91, -52.90, -53.52, 0.00, 0.00,(0 0)
112, 111119111, -51.46, -50.99, -51.47, 0.00, 0.00,(0 0)
113, 112120103, -50.62, -50.50, -50.79, 0.00, 0.00,(0 0)
114, 113121095, -51.12, -50.71, -51.14, 0.00, 0.00,(0 0)
115, 114122087, -53.05, -52.91, -53.30, 0.00, 0.00,(0 0)
116, 115123079, -55.57, -55.37, -55.74, 0.00, 0.00,(0 0)
117, 116124071, -57.55, -57.21, -57.62, 0.00, 0.00,(0 0)
118, 117125063, -58.85, -58.85, -59.91, 0.00, 0.00,(0 0)
119, 118126055, -59.68, -59.50, -60.21, 0.00, 0.00,(0 0)
120, 119127047, -60.13, -59.66, -60.14, 0.00, 0.00,(0 0)
121, 120128039, -60.42, -60.34, -60.58, 0.00, 0.00,(0 0)
122, 121129031, -60.75, -60.72, -61.09, 0.00, 0.00,(0 0)
123, 122130023, -60.69, -60.37, -60.84, 0.00, 0.00,(0 0)
124, 123131015, -60.63, -59.22, -61.43, 0.00, 0.00,(0 0)
125, 124132007, -60.30, -59.79, -60.38, 0.00, 0.00,(0 0)
126, 125132998, -59.95, -59.63, -60.12, 0.00, 0.00,(0 0)
127, 126133990, -59.80, -59.52, -59.80, 0.00, 0.00,(0 0)
128, 127134982, -59.62, -59.26, -59.86, 0.00, 0.00,(0 0)
129, 128135974, -59.51, -59.16, -59.58, 0.00, 0.00,(0 0)
130, 129136966, -59.20, -59.13, -59.47, 0.00, 0.00,(0 0)
131, 130137958, -58.78, -58.72, -59.09, 0.00, 0.00,(0 0)
132, 131138950, -58.33, -57.68, -58.39, 0.00, 0.00,(0 0)
133, 132139942, -57.13, -56.14, -58.09, 0.00, 0.00,(0 0)
134, 133140934, -55.77, -54.24, -57.67, 0.00, 0.00,(0 0)
135, 134141926, -56.19, -55.28, -57.54, 0.00, 0.00,(0 0)
136, 135142918, -56.73, -56.62, -57.00, 0.00, 0.00,(0 0)
137, 136143910, -56.07, -55.53, -56.08, 0.00, 0.00,(0 0)
138, 137144902, -54.65, -54.08, -54.89, 0.00, 0.00,(0 0)
139, 138145894, -54.10, -53.47, -54.11, 0.00, 0.00,(0 0)
140, 139146886, -53.56, -53.50, -53.91, 0.00, 0.00,(0 0)
141, 140147878, -53.09, -52.90, -53.59, 0.00, 0.00,(0 0)
142, 141148870, -52.86, -52.76, -53.09, 0.00, 0.00,(0 0)
143, 142149862, -52.42, -52.12, -52.49, 0.00, 0.00,(0 0)
144, 143150854, -51.80, -51.56, -51.87, 0.00, 0.00,(0 0)
145, 144151846, -51.07, -50.89, -51.10, 0.00, 0.00,(0 0)
146, 145152838, -50.59, -50.02, -50.59, 0.00, 0.00,(0 0)
147, 146153830, -50.47, -50.18, -51.41, 0.00, 0.00,(0 0)
148, 147154822, -50.79, -50.68, -51.78, 0.00, 0.00,(0 0)
149, 148155814, -51.70, -51.14, -51.76, 0.00, 0.00,(0 0)
150, 149156806, -52.96, -52.78, -52.98, 0.00, 0.00,(0 0)
151, 150157798, -54.12, -54.10, -54.72, 0.00, 0.00,(0 0)
152, 151158790, -55.21, -54.87, -55.43, 0.00, 0.00,(0 0)
153, 152159782, -56.11, -55.99, -56.47, 0.00, 0.00,(0 0)
154, 153160774, -56.92, -56.67, -57.04, 0.00, 0.00,(0 0)
155, 154161766, -57.87, -57.79, -58.15, 0.00, 0.00,(0 0)
156, 155162758, -58.49, -58.17, -58.70, 0.00, 0.00,(0 0)
157, 156163750, -58.82, -58.82, -59.31, 0.00, 0.00,(0 0)
158, 157164742, -57.96, -57.44, -58.07, 0.00, 0.00,(0 0)
159, 158165734, -41.43, -41.16, -41.43, 0.00, 0.00,(0 0)
160, 159166726, -35.23, -35.13, -35.53, 0.00, 0.00,(0 0)
161, 160167718, -42.66, -42.60, -43.40, 0.00, 0.00,(0 0)
162, 161168710, -58.07, -58.05, -58.36, 0.00, 0.00,(0 0)
163, 162169702, -58.62, -58.40, -58.86, 0.00, 0.00,(0 0)
164, 163170694, -58.35, -58.11, -58.45, 0.00, 0.00,(0 0)
165, 164171686, -57.75, -57.49, -58.33, 0.00, 0.00,(0 0)
166, 165172678, -57.35, -57.18, -57.53, 0.00, 0.00,(0 0)
167, 166173670, -57.10, -56.43, -57.14, 0.00, 0.00,(0 0)
168, 167174662, -56.75, -56.23, -57.24, 0.00, 0.00,(0 0)
169, 168175654, -56.56, -55.94, -56.64, 0.00, 0.00,(0 0)
170, 169176646, -56.11, -55.84, -56.41, 0.00, 0.00,(0 0)
171, 170177638, -55.45, -55.35, -55.68, 0.00, 0.00,(0 0)
172, 171178630, -54.59, -53.91, -54.75, 0.00, 0.00,(0 0)
173, 172179622, -53.96, -53.86, -54.46, 0.00, 0.00,(0 0)
174, 173180614, -53.28, -53.00, -53.37, 0.00, 0.00,(0 0)
175, 174181606, -52.62, -52.08, -52.65, 0.00, 0.00,(0 0)
176, 175182598, -51.83, -51.41, -52.06, 0.00, 0.00,(0 0)
177, 176183590, -50.93, -50.83, -51.07, 0.00, 0.00,(0 0)
178, 177184582, -49.95, -49.84, -50.32, 0.00, 0.00,(0 0)
179, 178185574, -49.36, -49.24, -49.63, 0.00, 0.00,(0 0)
180, 179186566, -49.09, -48.82, -49.26, 0.00, 0.00,(0 0)
181, 180187558, -49.66, -49.56, -49.93, 0.00, 0.00,(0 0)
182, 181188550, -50.74, -50.72, -51.16, 0.00, 0.00,(0 0)
183, 182189542, -51.88, -51.83, -52.19, 0.00, 0.00,(0 0)
184, 183190534, -52.91, -52.88, -53.59, 0.00, 0.00,(0 0)
185, 184191526, -53.71, -53.64, -54.13, 0.00, 0.00,(0 0)
186, 185192518, -54.36, -54.17, -54.38, 0.00, 0.00,(0 0)
187, 186193510, -55.04, -54.49, -55.99, 0.00, 0.00,(0 0)
188, 187194502, -55.82, -55.46, -56.17, 0.00, 0.00,(0 0)
189, 188195494, -56.41, -56.11, -56.61, 0.00, 0.00,(0 0)
190, 189196486, -56.64, -56.17, -56.79, 0.00, 0.00,(0 0)
191, 190197478, -56.65, -56.32, -56.97, 0.00, 0.00,(0 0)
192, 191198470, -56.52, -55.69, -56.55, 0.00, 0.00,(0 0)
193, 192199462, -56.61, -56.18, -56.95, 0.00, 0.00,(0 0)
194, 193200454, -56.62, -56.48, -56.81, 0.00, 0.00,(0 0)
195, 194201446, -56.74, -56.67, -56.92, 0.00, 0.00,(0 0)
196, 195202438, -56.86, -56.83, -57.28, 0.00, 0.00,(0 0)
197, 196203430, -56.81, -56.79, -57.13, 0.00, 0.00,(0 0)
198, 197204422, -56.52, -56.49, -57.02, 0.00, 0.00,(0 0)
199, 198205414, -56.46, -55.87, -56.59, 0.00, 0.00,(0 0)
200, 199206406, -56.44, -55.95, -56.82, 0.00, 0.00,(0 0)
201, 200207398, -56.39, -56.15, -56.71, 0.00, 0.00,(0 0)
202, 201208390, -56.46, -56.29, -56.68, 0.00, 0.00,(0 0)
203, 202209382, -56.28, -56.03, -56.43, 0.00, 0.00,(0 0)
204, 203210374, -55.98, -55.74, -56.32, 0.00, 0.00,(0 0)
205, 204211366, -55.70, -55.38, -55.83, 0.00, 0.00,(0 0)
206, 205212358, -55.24, -54.93, -55.38, 0.00, 0.00,(0 0)
207, 206213350, -54.89, -54.77, -55.20, 0.00, 0.00,(0 0)
208, 207214342, -54.49, -54.49, -54.92, 0.00, 0.00,(0 0)
209, 208215334, -54.16, -53.86, -54.31, 0.00, 0.00,(0 0)
210, 209216326, -53.59, -53.50, -54.48, 0.00, 0.00,(0 0)
211, 210217318, -52.93, -52.81, -53.02, 0.00, 0.00,(0 0)
212, 211218310, -52.15, -51.44, -52.41, 0.00, 0.00,(0 0)
213, 212219302, -51.46, -51.46, -51.70, 0.00, 0.00,(0 0)
214, 213220294, -50.75, -50.71, -51.17, 0.00, 0.00,(0 0)
215, 214221286, -50.20, -50.12, -50.43, 0.00, 0.00,(0 0)
216, 215222278, -49.92, -49.53, -50.01, 0.00, 0.00,(0 0)
217, 216223270, -49.73, -48.98, -49.96, 0.00, 0.00,(0 0)
218, 217224262, -49.71, -49.52, -50.16, 0.00, 0.00,(0 0)
219, 218225254, -50.19, -49.92, -50.48, 0.00, 0.00,(0 0)
220, 219226246, -50.84, -49.95, -51.00, 0.00, 0.00,(0 0)
221, 220227238, -51.70, -51.47, -52.08, 0.00, 0.00,(0 0)
222, 221228230, -52.77, -52.59, -53.01, 0.00, 0.00,(0 0)
223, 222229222, -53.78, -53.64, -53.94, 0.00, 0.00,(0 0)
224, 223230214, -54.56, -54.36, -54.68, 0.00, 0.00,(0 0)
225, 224231206, -55.17, -55.04, -55.60, 0.00, 0.00,(0 0)
226, 225232198, -55.76, -55.24, -55.81, 0.00, 0.00,(0 0)
227, 226233190, -56.13, -56.06, -57.05, 0.00, 0.00,(0 0)
228, 227234182, -56.68, -56.14, -56.85, 0.00, 0.00,(0 0)
229, 228235174, -56.86, -56.35, -57.03, 0.00, 0.00,(0 0)
230, 229236166, -57.06, -56.50, -57.14, 0.00, 0.00,(0 0)
231, 230237158, -57.11, -56.14, -57.12, 0.00, 0.00,(0 0)
232, 231238150, -57.11, -56.73, -57.40, 0.00, 0.00,(0 0)
233, 232239142, -56.96, -56.76, -57.15, 0.00, 0.00,(0 0)
234, 233240134, -56.80, -56.76, -57.27, 0.00, 0.00,(0 0)
235, 234241126, -56.70, -56.37, -56.94, 0.00, 0.00,(0 0)
236, 235242118, -56.46, -55.85, -56.81, 0.00, 0.00,(0 0)
237, 236243110, -56.14, -55.88, -56.19, 0.00, 0.00,(0 0)
238, 237244102, -55.88, -55.57, -55.96, 0.00, 0.00,(0 0)
239, 238245094, -55.41, -55.27, -55.84, 0.00, 0.00,(0 0)
240, 239246086, -54.91, -54.76, -55.13, 0.00, 0.00,(0 0)
241, 240247078, -54.40, -54.02, -54.45, 0.00, 0.00,(0 0)
242, 241248070, -54.01, -53.61, -54.18, 0.00, 0.00,(0 0)
243, 242249062, -53.50, -53.21, -53.72, 0.00, 0.00,(0 0)
244, 243250054, -48.26, -47.48, -48.29, 0.00, 0.00,(0 0)
245, 244251046, -47.63, -46.54, -47.66, 0.00, 0.00,(0 0)
246, 245252038, -50.77, -50.50, -50.88, 0.00, 0.00,(0 0)
247, 246253030, -50.55, -49.95, -50.74, 0.00, 0.00,(0 0)
248, 247254022, -50.52, -50.21, -50.54, 0.00, 0.00,(0 0)
249, 248255014, -47.34, -47.32, -48.02, 0.00, 0.00,(0 0)
250, 249256006, -46.09, -46.05, -46.51, 0.00, 0.00,(0 0)
251, 250256997, -46.52, -46.26, -46.56, 0.00, 0.00,(0 0)
252, 251257989, -47.73, -47.55, -48.17, 0.00, 0.00,(0 0)
253, 252258981, -48.13, -48.01, -48.39, 0.00, 0.00,(0 0)
254, 253259973, -47.58, -47.41, -47.73, 0.00, 0.00,(0 0)
255, 254260965, -48.59, -48.20, -48.59, 0.00, 0.00,(0 0)
256, 255261957, -49.93, -49.68, -50.44, 0.00, 0.00,(0 0)
257, 256262949, -48.22, -47.80, -48.38, 0.00, 0.00,(0 0)
258, 257263941, -45.49, -45.36, -45.59, 0.00, 0.00,(0 0)
259, 258264933, -49.64, -49.62, -49.91, 0.00, 0.00,(0 0)
260, 259265925, -52.42, -52.24, -52.57, 0.00, 0.00,(0 0)
261, 260266917, -48.07, -48.06, -48.58, 0.00, 0.00,(0 0)
262, 261267909, -45.89, -45.47, -46.08, 0.00, 0.00,(0 0)
263, 262268901, -45.82, -45.70, -45.98, 0.00, 0.00,(0 0)
264, 263269893, -49.14, -49.04, -49.66, 0.00, 0.00,(0 0)
265, 264270885, -50.94, -50.57, -51.12, 0.00, 0.00,(0 0)
266, 265271877, -48.59, -48.31, -48.70, 0.00, 0.00,(0 0)
267, 266272869, -49.48, -49.30, -49.54, 0.00, 0.00,(0 0)
268, 267273861, -49.41, -49.32, -49.65, 0.00, 0.00,(0 0)
269, 268274853, -49.29, -48.87, -49.30, 0.00, 0.00,(0 0)
270, 269275845, -47.90, -47.86, -48.28, 0.00, 0.00,(0 0)
271, 270276837, -49.98, -49.47, -50.19, 0.00, 0.00,(0 0)
272, 271277829, -52.67, -52.59, -53.20, 0.00, 0.00,(0 0)
273, 272278821, -52.02, -51.83, -52.09, 0.00, 0.00,(0 0)
274, 273279813, -51.72, -51.34, -51.83, 0.00, 0.00,(0 0)
275, 274280805, -51.64, -51.36, -51.97, 0.00, 0.00,(0 0)
276, 275281797, -51.46, -50.97, -51.93, 0.00, 0.00,(0 0)
277, 276282789, -51.70, -50.95, -51.86, 0.00, 0.00,(0 0)
278, 277283781, -51.55, -51.43, -51.62, 0.00, 0.00,(0 0)
279, 278284773, -49.90, -49.26, -50.01, 0.00, 0.00,(0 0)
280, 279285765, -48.82, -48.67, -48.96, 0.00, 0.00,(0 0)
281, 280286757, -51.05, -50.53, -51.16, 0.00, 0.00,(0 0)
282, 281287749, -51.22, -50.79, -51.22, 0.00, 0.00,(0 0)
283, 282288741, -51.55, -51.06, -51.71, 0.00, 0.00,(0 0)
284, 283289733, -52.31, -51.98, -52.52, 0.00, 0.00,(0 0)
285, 284290725, -52.86, -52.57, -52.87, 0.00, 0.00,(0 0)
286, 285291717, -53.38, -53.02, -53.44, 0.00, 0.00,(0 0)
287, 286292709, -53.46, -53.08, -53.80, 0.00, 0.00,(0 0)
288, 287293701, -53.39, -52.83, -53.43, 0.00, 0.00,(0 0)
289, 288294693, -53.59, -53.24, -53.65, 0.00, 0.00,(0 0)
290, 289295685, -53.84, -53.65, -54.49, 0.00, 0.00,(0 0)
291, 290296677, -53.81, -53.57, -53.82, 0.00, 0.00,(0 0)
292, 291297669, -53.99, -53.79, -54.15, 0.00, 0.00,(0 0)
293, 292298661, -53.87, -53.13, -53.91, 0.00, 0.00,(0 0)
294, 293299653, -53.61, -53.48, -54.15, 0.00, 0.00,(0 0)
295, 294300645, -53.61, -53.51, -54.17, 0.00, 0.00,(0 0)
296, 295301637, -53.68, -53.21, -54.16, 0.00, 0.00,(0 0)
297, 296302629, -53.55, -53.52, -53.95, 0.00, 0.00,(0 0)
298, 297303621, -53.56, -53.50, -54.13, 0.00, 0.00,(0 0)
299, 298304613, -53.66, -53.64, -54.15, 0.00, 0.00,(0 0)
300, 299305605, -52.96, -52.17, -53.39, 0.00, 0.00,(0 0)
301, 300306597, -52.88, -52.57, -53.55, 0.00, 0.00,(0 0)
302, 301307589, -53.25, -53.22, -53.63, 0.00, 0.00,(0 0)
303, 302308581, -53.13, -52.56, -53.13, 0.00, 0.00,(0 0)
304, 303309573, -53.29, -53.09, -53.62, 0.00, 0.00,(0 0)
305, 304310565, -53.42, -52.99, -53.73, 0.00, 0.00,(0 0)
306, 305311557, -53.14, -53.13, -53.86, 0.00, 0.00,(0 0)
307, 306312549, -53.11, -53.00, -53.33, 0.00, 0.00,(0 0)
308, 307313541, -53.08, -52.73, -53.31, 0.00, 0.00,(0 0)
309, 308314533, -53.13, -52.45, -53.14, 0.00, 0.00,(0 0)
310, 309315525, -53.18, -52.86, -53.41, 0.00, 0.00,(0 0)
311, 310316517, -53.30, -53.27, -53.91, 0.00, 0.00,(0 0)
312, 311317509, -53.15, -53.11, -53.37, 0.00, 0.00,(0 0)
313, 312318501, -52.96, -52.81, -53.21, 0.00, 0.00,(0 0)
314, 313319493, -52.96, -52.81, -53.41, 0.00, 0.00,(0 0)
315, 314320485, -52.87, -52.64, -53.08, 0.00, 0.00,(0 0)
316, 315321477, -53.02, -52.85, -53.39, 0.00, 0.00,(0 0)
317, 316322469, -53.23, -53.09, -53.47, 0.00, 0.00,(0 0)
318, 317323461, -53.32, -53.07, -53.54, 0.00, 0.00,(0 0)
319, 318324453, -53.44, -53.44, -53.67, 0.00, 0.00,(0 0)
320, 319325445, -53.13, -52.95, -53.28, 0.00, 0.00,(0 0)
321, 320326437, -53.13, -52.73, -53.40, 0.00, 0.00,(0 0)
322, 321327429, -53.46, -52.99, -53.52, 0.00, 0.00,(0 0)
323, 322328421, -53.56, -53.55, -54.11, 0.00, 0.00,(0 0)
324, 323329413, -53.64, -53.41, -54.21, 0.00, 0.00,(0 0)
325, 324330405, -53.64, -53.41, -53.78, 0.00, 0.00,(0 0)
326, 325331397, -53.66, -53.39, -53.81, 0.00, 0.00,(0 0)
327, 326332389, -53.57, -53.55, -54.02, 0.00, 0.00,(0 0)
328, 327333381, -53.63, -53.57, -54.14, 0.00, 0.00,(0 0)
329, 328334373, -53.73, -53.48, -54.26, 0.00, 0.00,(0 0)
330, 329335365, -53.78, -53.72, -54.89, 0.00, 0.00,(0 0)
331, 330336357, -53.83, -53.67, -54.37, 0.00, 0.00,(0 0)
332, 331337349, -54.20, -54.17, -54.93, 0.00, 0.00,(0 0)
333, 332338341, -54.03, -53.97, -54.54, 0.00, 0.00,(0 0)
334, 333339333, -53.99, -53.93, -54.60, 0.00, 0.00,(0 0)
335, 334340325, -54.01, -53.99, -54.72, 0.00, 0.00,(0 0)
336, 335341317, -53.99, -53.91, -54.49, 0.00, 0.00,(0 0)
337, 336342309, -54.06, -54.02, -54.62, 0.00, 0.00,(0 0)
338, 337343301, -54.21, -54.16, -54.76, 0.00, 0.00,(0 0)
339, 338344293, -54.12, -54.08, -54.63, 0.00, 0.00,(0 0)
340, 339345285, -53.84, -53.82, -54.91, 0.00, 0.00,(0 0)
341, 340346277, -53.81, -53.75, -54.77, 0.00, 0.00,(0 0)
342, 341347269, -54.02, -53.99, -54.62, 0.00, 0.00,(0 0)
343, 342348261, -53.87, -53.75, -54.05, 0.00, 0.00,(0 0)
344, 343349253, -53.73, -53.66, -53.98, 0.00, 0.00,(0 0)
345, 344350245, -51.79, -51.35, -52.23, 0.00, 0.00,(0 0)
346, 345351237, -53.25, -53.06, -54.49, 0.00, 0.00,(0 0)
347, 346352229, -53.59, -53.55, -53.87, 0.00, 0.00,(0 0)
348, 347353221, -52.54, -52.19, -52.97, 0.00, 0.00,(0 0)
349, 348354213, -50.80, -50.65, -51.33, 0.00, 0.00,(0 0)
350, 349355205, -52.15, -52.05, -52.67, 0.00, 0.00,(0 0)
351, 350356197, -53.06, -52.73, -53.08, 0.00, 0.00,(0 0)
352, 351357189, -52.99, -52.79, -53.11, 0.00, 0.00,(0 0)
353, 352358181, -53.31, -52.87, -53.54, 0.00, 0.00,(0 0)
354, 353359173, -53.35, -52.88, -53.64, 0.00, 0.00,(0 0)
355, 354360165, -53.45, -53.39, -53.88, 0.00, 0.00,(0 0)
356, 355361157, -53.58, -53.08, -54.04, 0.00, 0.00,(0 0)
357, 356362149, -53.63, -53.38, -53.64, 0.00, 0.00,(0 0)
358, 357363141, -53.77, -53.56, -54.04, 0.00, 0.00,(0 0)
359, 358364133, -53.67, -53.54, -54.14, 0.00, 0.00,(0 0)
360, 359365125, -53.42, -53.37, -53.93, 0.00, 0.00,(0 0)
361, 360366117, -51.70, -51.58, -52.83, 0.00, 0.00,(0 0)
362, 361367109, -50.26, -49.67, -50.76, 0.00, 0.00,(0 0)
363, 362368101, -50.33, -49.87, -50.40, 0.00, 0.00,(0 0)
364, 363369093, -50.57, -50.39, -50.76, 0.00, 0.00,(0 0)
