No, Freq(Hz), Ampt_Trace1(dBm), Ampt_Trace2(dBm), Ampt_Trace3(dBm), Ampt_Trace4(dBm), Ampt_Trace5(dBm), Loc
28, 27124324, -62.84, -59.58, -64.20, 0.00, 0.00,(0 0)
29, 28125225, -63.54, -63.32, -64.55, 0.00, 0.00,(0 0)
30, 29126126, -63.37, -62.84, -64.17, 0.00, 0.00,(0 0)
31, 30127027, -63.30, -62.98, -63.33, 0.00, 0.00,(0 0)
32, 31127927, -63.04, -62.66, -63.10, 0.00, 0.00,(0 0)
33, 32128828, -63.06, -62.94, -63.40, 0.00, 0.00,(0 0)
34, 33129729, -63.29, -63.16, -63.47, 0.00, 0.00,(0 0)
35, 34130630, -63.44, -63.18, -63.50, 0.00, 0.00,(0 0)
36, 35131531, -63.45, -63.18, -63.74, 0.00, 0.00,(0 0)
37, 36132432, -63.08, -62.89, -63.83, 0.00, 0.00,(0 0)
38, 37133333, -62.64, -62.07, -63.13, 0.00, 0.00,(0 0)
39, 38134234, -61.23, -60.85, -62.30, 0.00, 0.00,(0 0)
40, 39135135, -58.30, -57.59, -59.39, 0.00, 0.00,(0 0)
41, 40136036, -54.20, -52.72, -57.94, 0.00, 0.00,(0 0)
42, 41136936, -49.50, -49.24, -52.36, 0.00, 0.00,(0 0)
43, 42137837, -49.03, -47.78, -51.12, 0.00, 0.00,(0 0)
44, 43138738, -54.38, -53.20, -55.60, 0.00, 0.00,(0 0)
45, 44139639, -59.61, -58.23, -60.27, 0.00, 0.00,(0 0)
46, 45140540, -62.19, -61.80, -62.80, 0.00, 0.00,(0 0)
47, 46141441, -62.36, -61.91, -63.26, 0.00, 0.00,(0 0)
48, 47142342, -63.42, -63.27, -63.84, 0.00, 0.00,(0 0)
49, 48143243, -63.86, -63.71, -64.38, 0.00, 0.00,(0 0)
50, 49144144, -64.00, -63.83, -64.21, 0.00, 0.00,(0 0)
51, 50145045, -63.66, -63.59, -63.87, 0.00, 0.00,(0 0)
52, 51145945, -63.35, -63.33, -64.07, 0.00, 0.00,(0 0)
53, 52146846, -63.10, -63.04, -63.34, 0.00, 0.00,(0 0)
54, 53147747, -62.87, -62.69, -62.88, 0.00, 0.00,(0 0)
55, 54148648, -62.89, -62.86, -63.47, 0.00, 0.00,(0 0)
56, 55149549, -63.02, -63.02, -63.60, 0.00, 0.00,(0 0)
57, 56150450, -63.09, -62.94, -63.98, 0.00, 0.00,(0 0)
58, 57151351, -62.81, -62.75, -63.21, 0.00, 0.00,(0 0)
59, 58152252, -62.57, -62.22, -62.90, 0.00, 0.00,(0 0)
60, 59153153, -62.22, -62.19, -62.65, 0.00, 0.00,(0 0)
61, 60154054, -62.08, -61.98, -62.22, 0.00, 0.00,(0 0)
62, 61154954, -62.09, -61.91, -62.22, 0.00, 0.00,(0 0)
63, 62155855, -62.14, -61.97, -62.49, 0.00, 0.00,(0 0)
64, 63156756, -62.12, -62.08, -62.62, 0.00, 0.00,(0 0)
65, 64157657, -61.71, -61.46, -61.79, 0.00, 0.00,(0 0)
66, 65158558, -61.35, -61.19, -61.65, 0.00, 0.00,(0 0)
67, 66159459, -60.79, -60.58, -61.27, 0.00, 0.00,(0 0)
68, 67160360, -60.51, -60.18, -60.67, 0.00, 0.00,(0 0)
69, 68161261, -60.27, -60.14, -60.56, 0.00, 0.00,(0 0)
70, 69162162, -60.16, -59.76, -60.46, 0.00, 0.00,(0 0)
71, 70163063, -59.74, -59.54, -59.87, 0.00, 0.00,(0 0)
72, 71163963, -59.16, -58.30, -59.71, 0.00, 0.00,(0 0)
73, 72164864, -58.24, -58.08, -58.43, 0.00, 0.00,(0 0)
74, 73165765, -57.20, -56.87, -57.65, 0.00, 0.00,(0 0)
75, 74166666, -55.97, -55.60, -56.57, 0.00, 0.00,(0 0)
76, 75167567, -54.49, -53.24, -54.98, 0.00, 0.00,(0 0)
77, 76168468, -53.39, -51.97, -53.61, 0.00, 0.00,(0 0)
78, 77169369, -53.04, -51.55, -53.50, 0.00, 0.00,(0 0)
79, 78170270, -53.11, -51.82, -55.08, 0.00, 0.00,(0 0)
80, 79171171, -54.66, -54.65, -56.18, 0.00, 0.00,(0 0)
81, 80172072, -57.00, -55.02, -58.09, 0.00, 0.00,(0 0)
82, 81172972, -59.10, -58.50, -59.79, 0.00, 0.00,(0 0)
83, 82173873, -60.94, -60.93, -61.42, 0.00, 0.00,(0 0)
84, 83174774, -61.92, -61.40, -62.14, 0.00, 0.00,(0 0)
85, 84175675, -62.31, -62.07, -62.42, 0.00, 0.00,(0 0)
86, 85176576, -62.23, -62.22, -62.38, 0.00, 0.00,(0 0)
87, 86177477, -62.21, -62.21, -62.72, 0.00, 0.00,(0 0)
88, 87178378, -59.45, -59.31, -59.62, 0.00, 0.00,(0 0)
89, 88179279, -51.15, -50.96, -52.24, 0.00, 0.00,(0 0)
90, 89180180, -50.38, -49.65, -51.08, 0.00, 0.00,(0 0)
91, 90181081, -50.23, -49.84, -50.68, 0.00, 0.00,(0 0)
92, 91181981, -58.10, -57.56, -58.16, 0.00, 0.00,(0 0)
93, 92182882, -56.66, -56.42, -57.09, 0.00, 0.00,(0 0)
94, 93183783, -47.50, -47.48, -47.77, 0.00, 0.00,(0 0)
95, 94184684, -44.77, -44.48, -45.57, 0.00, 0.00,(0 0)
96, 95185585, -52.06, -50.90, -52.64, 0.00, 0.00,(0 0)
97, 96186486, -45.37, -44.96, -46.71, 0.00, 0.00,(0 0)
98, 97187387, -41.92, -41.26, -42.52, 0.00, 0.00,(0 0)
99, 98188288, -54.12, -53.78, -54.40, 0.00, 0.00,(0 0)
100, 99189189, -57.67, -57.58, -58.74, 0.00, 0.00,(0 0)
101, 100190090, -56.57, -56.35, -57.50, 0.00, 0.00,(0 0)
102, 101190990, -55.72, -54.71, -55.93, 0.00, 0.00,(0 0)
103, 102191891, -43.47, -43.06, -43.57, 0.00, 0.00,(0 0)
104, 103192792, -40.51, -40.06, -40.60, 0.00, 0.00,(0 0)
105, 104193693, -36.84, -36.77, -37.14, 0.00, 0.00,(0 0)
106, 105194594, -33.26, -32.94, -33.43, 0.00, 0.00,(0 0)
107, 106195495, -36.87, -36.51, -37.01, 0.00, 0.00,(0 0)
108, 107196396, -50.77, -50.26, -52.25, 0.00, 0.00,(0 0)
109, 108197297, -54.96, -54.75, -55.27, 0.00, 0.00,(0 0)
110, 109198198, -54.73, -54.47, -55.22, 0.00, 0.00,(0 0)
111, 110199099, -53.38, -53.14, -53.72, 0.00, 0.00,(0 0)
112, 111200000, -52.02, -51.99, -52.39, 0.00, 0.00,(0 0)
113, 112200900, -50.84, -50.83, -51.33, 0.00, 0.00,(0 0)
114, 113201801, -50.67, -50.67, -50.87, 0.00, 0.00,(0 0)
115, 114202702, -52.09, -51.84, -52.36, 0.00, 0.00,(0 0)
116, 115203603, -54.42, -54.40, -54.95, 0.00, 0.00,(0 0)
117, 116204504, -56.84, -56.73, -57.09, 0.00, 0.00,(0 0)
118, 117205405, -58.49, -58.34, -58.82, 0.00, 0.00,(0 0)
119, 118206306, -59.18, -58.24, -59.63, 0.00, 0.00,(0 0)
120, 119207207, -58.91, -55.01, -60.72, 0.00, 0.00,(0 0)
121, 120208108, -60.39, -58.54, -61.11, 0.00, 0.00,(0 0)
122, 121209009, -61.27, -61.18, -61.41, 0.00, 0.00,(0 0)
123, 122209909, -61.21, -60.98, -61.76, 0.00, 0.00,(0 0)
124, 123210810, -60.98, -60.87, -61.42, 0.00, 0.00,(0 0)
125, 124211711, -60.49, -60.11, -60.80, 0.00, 0.00,(0 0)
126, 125212612, -60.20, -59.64, -60.21, 0.00, 0.00,(0 0)
127, 126213513, -60.33, -60.04, -60.61, 0.00, 0.00,(0 0)
128, 127214414, -60.06, -59.89, -60.38, 0.00, 0.00,(0 0)
129, 128215315, -60.05, -59.80, -60.31, 0.00, 0.00,(0 0)
130, 129216216, -59.81, -59.74, -60.11, 0.00, 0.00,(0 0)
131, 130217117, -59.37, -59.29, -59.46, 0.00, 0.00,(0 0)
132, 131218018, -58.76, -58.64, -59.03, 0.00, 0.00,(0 0)
133, 132218918, -58.54, -58.40, -58.79, 0.00, 0.00,(0 0)
134, 133219819, -58.32, -58.30, -58.58, 0.00, 0.00,(0 0)
135, 134220720, -58.12, -57.95, -58.87, 0.00, 0.00,(0 0)
136, 135221621, -57.84, -57.80, -58.46, 0.00, 0.00,(0 0)
137, 136222522, -57.30, -56.97, -57.80, 0.00, 0.00,(0 0)
138, 137223423, -56.13, -55.99, -56.61, 0.00, 0.00,(0 0)
139, 138224324, -55.93, -55.87, -56.27, 0.00, 0.00,(0 0)
140, 139225225, -55.35, -55.25, -55.50, 0.00, 0.00,(0 0)
141, 140226126, -54.66, -54.56, -54.81, 0.00, 0.00,(0 0)
142, 141227027, -54.08, -53.96, -54.30, 0.00, 0.00,(0 0)
143, 142227927, -53.38, -53.18, -53.48, 0.00, 0.00,(0 0)
144, 143228828, -52.14, -51.73, -52.33, 0.00, 0.00,(0 0)
145, 144229729, -50.88, -50.81, -51.45, 0.00, 0.00,(0 0)
146, 145230630, -49.77, -49.75, -50.60, 0.00, 0.00,(0 0)
147, 146231531, -49.20, -49.10, -49.45, 0.00, 0.00,(0 0)
148, 147232432, -49.75, -49.36, -49.87, 0.00, 0.00,(0 0)
149, 148233333, -50.99, -50.42, -51.20, 0.00, 0.00,(0 0)
150, 149234234, -53.36, -52.71, -53.52, 0.00, 0.00,(0 0)
151, 150235135, -55.36, -55.27, -55.44, 0.00, 0.00,(0 0)
152, 151236036, -56.69, -56.47, -56.92, 0.00, 0.00,(0 0)
153, 152236936, -57.59, -57.21, -57.82, 0.00, 0.00,(0 0)
154, 153237837, -58.28, -58.26, -58.54, 0.00, 0.00,(0 0)
155, 154238738, -59.04, -58.97, -59.23, 0.00, 0.00,(0 0)
156, 155239639, -59.63, -59.55, -59.88, 0.00, 0.00,(0 0)
157, 156240540, -60.03, -59.89, -60.08, 0.00, 0.00,(0 0)
158, 157241441, -59.91, -59.86, -60.17, 0.00, 0.00,(0 0)
159, 158242342, -59.82, -59.69, -60.01, 0.00, 0.00,(0 0)
160, 159243243, -59.54, -59.54, -60.00, 0.00, 0.00,(0 0)
161, 160244144, -59.35, -59.01, -59.73, 0.00, 0.00,(0 0)
162, 161245045, -59.09, -58.92, -59.29, 0.00, 0.00,(0 0)
163, 162245945, -59.14, -59.13, -59.72, 0.00, 0.00,(0 0)
164, 163246846, -59.00, -58.73, -59.27, 0.00, 0.00,(0 0)
165, 164247747, -58.76, -58.25, -59.25, 0.00, 0.00,(0 0)
166, 165248648, -58.34, -58.34, -58.73, 0.00, 0.00,(0 0)
167, 166249549, -57.72, -57.45, -58.02, 0.00, 0.00,(0 0)
168, 167250450, -57.34, -57.20, -57.70, 0.00, 0.00,(0 0)
169, 168251351, -56.92, -56.73, -57.19, 0.00, 0.00,(0 0)
170, 169252252, -56.66, -56.57, -57.18, 0.00, 0.00,(0 0)
171, 170253153, -56.34, -56.23, -56.49, 0.00, 0.00,(0 0)
172, 171254054, -55.75, -55.13, -55.85, 0.00, 0.00,(0 0)
173, 172254954, -55.01, -54.54, -55.22, 0.00, 0.00,(0 0)
174, 173255855, -54.00, -53.97, -54.30, 0.00, 0.00,(0 0)
175, 174256756, -53.12, -52.68, -53.74, 0.00, 0.00,(0 0)
176, 175257657, -52.33, -52.16, -52.69, 0.00, 0.00,(0 0)
177, 176258558, -51.42, -51.21, -51.51, 0.00, 0.00,(0 0)
178, 177259459, -50.51, -50.51, -50.93, 0.00, 0.00,(0 0)
179, 178260360, -49.62, -49.41, -50.07, 0.00, 0.00,(0 0)
180, 179261261, -49.04, -48.76, -49.32, 0.00, 0.00,(0 0)
181, 180262162, -49.13, -49.07, -49.58, 0.00, 0.00,(0 0)
182, 181263063, -49.39, -49.37, -49.90, 0.00, 0.00,(0 0)
183, 182263963, -48.79, -48.51, -49.16, 0.00, 0.00,(0 0)
184, 183264864, -50.85, -50.37, -50.98, 0.00, 0.00,(0 0)
185, 184265765, -54.05, -54.02, -54.30, 0.00, 0.00,(0 0)
186, 185266666, -55.55, -55.41, -55.77, 0.00, 0.00,(0 0)
187, 186267567, -56.27, -56.10, -56.75, 0.00, 0.00,(0 0)
188, 187268468, -56.81, -56.72, -57.03, 0.00, 0.00,(0 0)
189, 188269369, -57.15, -56.88, -57.47, 0.00, 0.00,(0 0)
190, 189270270, -57.68, -57.64, -57.85, 0.00, 0.00,(0 0)
191, 190271171, -57.89, -57.36, -58.05, 0.00, 0.00,(0 0)
192, 191272072, -58.03, -57.92, -58.61, 0.00, 0.00,(0 0)
193, 192272972, -58.55, -58.52, -58.80, 0.00, 0.00,(0 0)
194, 193273873, -58.40, -58.37, -58.72, 0.00, 0.00,(0 0)
195, 194274774, -58.18, -58.00, -58.35, 0.00, 0.00,(0 0)
196, 195275675, -57.99, -57.61, -58.18, 0.00, 0.00,(0 0)
197, 196276576, -57.78, -57.73, -58.09, 0.00, 0.00,(0 0)
198, 197277477, -51.63, -50.04, -52.51, 0.00, 0.00,(0 0)
199, 198278378, -38.66, -37.99, -38.73, 0.00, 0.00,(0 0)
200, 199279279, -35.08, -34.17, -35.15, 0.00, 0.00,(0 0)
201, 200280180, -35.73, -35.19, -36.02, 0.00, 0.00,(0 0)
202, 201281081, -37.26, -37.03, -37.73, 0.00, 0.00,(0 0)
203, 202281981, -36.51, -35.86, -36.97, 0.00, 0.00,(0 0)
204, 203282882, -39.81, -39.29, -40.67, 0.00, 0.00,(0 0)
205, 204283783, -51.88, -49.91, -52.78, 0.00, 0.00,(0 0)
206, 205284684, -53.57, -52.87, -53.76, 0.00, 0.00,(0 0)
207, 206285585, -51.87, -51.65, -52.12, 0.00, 0.00,(0 0)
208, 207286486, -50.92, -50.55, -51.50, 0.00, 0.00,(0 0)
209, 208287387, -50.47, -50.47, -52.32, 0.00, 0.00,(0 0)
210, 209288288, -38.46, -36.81, -38.98, 0.00, 0.00,(0 0)
211, 210289189, -24.59, -23.85, -25.03, 0.00, 0.00,(0 0)
212, 211290090, -21.17, -20.23, -21.48, 0.00, 0.00,(0 0)
213, 212290990, -24.82, -24.67, -25.15, 0.00, 0.00,(0 0)
214, 213291891, -25.70, -25.62, -25.94, 0.00, 0.00,(0 0)
215, 214292792, -24.98, -24.83, -25.79, 0.00, 0.00,(0 0)
216, 215293693, -27.76, -27.49, -28.03, 0.00, 0.00,(0 0)
217, 216294594, -41.21, -40.50, -41.73, 0.00, 0.00,(0 0)
218, 217295495, -49.58, -49.26, -49.66, 0.00, 0.00,(0 0)
219, 218296396, -50.29, -50.21, -50.41, 0.00, 0.00,(0 0)
220, 219297297, -51.31, -51.16, -51.43, 0.00, 0.00,(0 0)
221, 220298198, -52.42, -52.23, -52.79, 0.00, 0.00,(0 0)
222, 221299099, -53.47, -53.40, -53.79, 0.00, 0.00,(0 0)
223, 222300000, -54.33, -54.17, -54.72, 0.00, 0.00,(0 0)
224, 223300900, -55.12, -54.83, -55.28, 0.00, 0.00,(0 0)
225, 224301801, -55.82, -55.62, -56.12, 0.00, 0.00,(0 0)
226, 225302702, -56.48, -56.39, -57.00, 0.00, 0.00,(0 0)
227, 226303603, -57.16, -56.53, -57.56, 0.00, 0.00,(0 0)
228, 227304504, -57.43, -57.34, -57.96, 0.00, 0.00,(0 0)
229, 228305405, -57.71, -57.66, -57.94, 0.00, 0.00,(0 0)
230, 229306306, -57.71, -57.53, -58.09, 0.00, 0.00,(0 0)
231, 230307207, -57.74, -57.58, -57.95, 0.00, 0.00,(0 0)
232, 231308108, -57.54, -56.94, -57.79, 0.00, 0.00,(0 0)
233, 232309009, -57.50, -56.79, -57.61, 0.00, 0.00,(0 0)
234, 233309909, -57.27, -57.26, -57.86, 0.00, 0.00,(0 0)
235, 234310810, -57.03, -56.57, -57.03, 0.00, 0.00,(0 0)
236, 235311711, -56.74, -56.49, -57.03, 0.00, 0.00,(0 0)
237, 236312612, -56.37, -56.08, -56.67, 0.00, 0.00,(0 0)
238, 237313513, -55.80, -55.45, -56.00, 0.00, 0.00,(0 0)
239, 238314414, -55.44, -55.41, -55.72, 0.00, 0.00,(0 0)
240, 239315315, -54.94, -54.94, -55.44, 0.00, 0.00,(0 0)
241, 240316216, -54.41, -54.25, -54.54, 0.00, 0.00,(0 0)
242, 241317117, -53.95, -53.30, -54.06, 0.00, 0.00,(0 0)
243, 242318018, -53.24, -53.14, -53.55, 0.00, 0.00,(0 0)
244, 243318918, -49.55, -49.40, -50.20, 0.00, 0.00,(0 0)
245, 244319819, -49.53, -49.32, -50.27, 0.00, 0.00,(0 0)
246, 245320720, -50.51, -50.44, -50.70, 0.00, 0.00,(0 0)
247, 246321621, -50.42, -50.36, -51.05, 0.00, 0.00,(0 0)
248, 247322522, -50.37, -49.26, -50.59, 0.00, 0.00,(0 0)
249, 248323423, -48.81, -48.48, -49.21, 0.00, 0.00,(0 0)
250, 249324324, -47.09, -46.97, -47.21, 0.00, 0.00,(0 0)
251, 250325225, -46.61, -46.39, -47.08, 0.00, 0.00,(0 0)
252, 251326126, -49.31, -49.08, -49.65, 0.00, 0.00,(0 0)
253, 252327027, -49.99, -49.99, -50.42, 0.00, 0.00,(0 0)
254, 253327927, -48.14, -47.95, -49.06, 0.00, 0.00,(0 0)
255, 254328828, -48.93, -48.62, -49.63, 0.00, 0.00,(0 0)
256, 255329729, -50.44, -50.43, -50.92, 0.00, 0.00,(0 0)
257, 256330630, -48.50, -48.28, -48.71, 0.00, 0.00,(0 0)
258, 257331531, -46.87, -46.76, -47.03, 0.00, 0.00,(0 0)
259, 258332432, -50.90, -50.90, -51.17, 0.00, 0.00,(0 0)
260, 259333333, -53.21, -53.14, -53.46, 0.00, 0.00,(0 0)
261, 260334234, -48.90, -48.89, -49.18, 0.00, 0.00,(0 0)
262, 261335135, -47.93, -47.78, -47.96, 0.00, 0.00,(0 0)
263, 262336036, -48.44, -48.44, -48.66, 0.00, 0.00,(0 0)
264, 263336936, -50.48, -50.44, -50.77, 0.00, 0.00,(0 0)
265, 264337837, -52.51, -52.33, -52.63, 0.00, 0.00,(0 0)
266, 265338738, -50.11, -49.84, -50.19, 0.00, 0.00,(0 0)
267, 266339639, -50.06, -49.70, -50.26, 0.00, 0.00,(0 0)
268, 267340540, -51.73, -51.54, -52.09, 0.00, 0.00,(0 0)
269, 268341441, -50.53, -50.39, -50.97, 0.00, 0.00,(0 0)
270, 269342342, -50.17, -50.06, -50.37, 0.00, 0.00,(0 0)
271, 270343243, -51.74, -51.74, -52.25, 0.00, 0.00,(0 0)
272, 271344144, -52.62, -52.34, -52.84, 0.00, 0.00,(0 0)
273, 272345045, -52.14, -51.94, -52.58, 0.00, 0.00,(0 0)
274, 273345945, -51.78, -51.56, -52.08, 0.00, 0.00,(0 0)
275, 274346846, -51.72, -51.57, -51.93, 0.00, 0.00,(0 0)
276, 275347747, -51.39, -51.12, -51.54, 0.00, 0.00,(0 0)
277, 276348648, -51.15, -50.96, -51.59, 0.00, 0.00,(0 0)
278, 277349549, -51.56, -51.51, -52.32, 0.00, 0.00,(0 0)
279, 278350450, -51.00, -50.91, -51.18, 0.00, 0.00,(0 0)
280, 279351351, -49.23, -49.17, -49.55, 0.00, 0.00,(0 0)
281, 280352252, -51.18, -51.16, -51.96, 0.00, 0.00,(0 0)
282, 281353153, -51.23, -51.15, -51.72, 0.00, 0.00,(0 0)
283, 282354054, -51.68, -51.63, -51.81, 0.00, 0.00,(0 0)
284, 283354954, -52.57, -52.33, -53.06, 0.00, 0.00,(0 0)
285, 284355855, -52.78, -52.76, -53.40, 0.00, 0.00,(0 0)
286, 285356756, -53.21, -52.92, -53.72, 0.00, 0.00,(0 0)
287, 286357657, -53.88, -53.85, -54.01, 0.00, 0.00,(0 0)
288, 287358558, -53.66, -53.60, -54.36, 0.00, 0.00,(0 0)
289, 288359459, -53.92, -53.83, -54.43, 0.00, 0.00,(0 0)
290, 289360360, -54.33, -54.31, -55.05, 0.00, 0.00,(0 0)
291, 290361261, -54.42, -54.11, -54.53, 0.00, 0.00,(0 0)
292, 291362162, -54.72, -54.59, -55.18, 0.00, 0.00,(0 0)
293, 292363063, -55.01, -54.91, -55.38, 0.00, 0.00,(0 0)
294, 293363963, -54.90, -54.60, -55.10, 0.00, 0.00,(0 0)
295, 294364864, -54.91, -54.87, -55.23, 0.00, 0.00,(0 0)
296, 295365765, -54.83, -54.74, -55.35, 0.00, 0.00,(0 0)
297, 296366666, -54.65, -54.54, -54.97, 0.00, 0.00,(0 0)
298, 297367567, -54.78, -54.40, -54.94, 0.00, 0.00,(0 0)
299, 298368468, -54.70, -54.57, -55.36, 0.00, 0.00,(0 0)
300, 299369369, -54.69, -54.53, -55.18, 0.00, 0.00,(0 0)
301, 300370270, -54.71, -54.25, -55.29, 0.00, 0.00,(0 0)
302, 301371171, -54.55, -54.54, -54.98, 0.00, 0.00,(0 0)
303, 302372072, -54.25, -54.06, -54.59, 0.00, 0.00,(0 0)
304, 303372972, -54.14, -53.89, -54.50, 0.00, 0.00,(0 0)
305, 304373873, -54.17, -53.89, -54.78, 0.00, 0.00,(0 0)
306, 305374774, -54.27, -54.23, -54.45, 0.00, 0.00,(0 0)
307, 306375675, -54.34, -53.65, -54.58, 0.00, 0.00,(0 0)
308, 307376576, -54.25, -54.02, -54.49, 0.00, 0.00,(0 0)
309, 308377477, -54.04, -53.71, -54.36, 0.00, 0.00,(0 0)
310, 309378378, -54.10, -53.90, -54.70, 0.00, 0.00,(0 0)
311, 310379279, -54.06, -53.86, -54.18, 0.00, 0.00,(0 0)
312, 311380180, -53.92, -53.58, -54.35, 0.00, 0.00,(0 0)
313, 312381081, -54.08, -53.83, -54.38, 0.00, 0.00,(0 0)
314, 313381981, -54.44, -54.42, -54.62, 0.00, 0.00,(0 0)
315, 314382882, -54.33, -53.78, -54.81, 0.00, 0.00,(0 0)
316, 315383783, -54.32, -54.00, -55.13, 0.00, 0.00,(0 0)
317, 316384684, -54.31, -54.29, -54.82, 0.00, 0.00,(0 0)
318, 317385585, -54.39, -54.02, -54.68, 0.00, 0.00,(0 0)
319, 318386486, -54.49, -54.45, -55.03, 0.00, 0.00,(0 0)
320, 319387387, -54.51, -54.28, -54.71, 0.00, 0.00,(0 0)
321, 320388288, -54.59, -54.15, -54.76, 0.00, 0.00,(0 0)
322, 321389189, -54.68, -54.34, -55.14, 0.00, 0.00,(0 0)
323, 322390090, -54.64, -54.62, -55.26, 0.00, 0.00,(0 0)
324, 323390990, -54.60, -54.53, -54.85, 0.00, 0.00,(0 0)
325, 324391891, -54.66, -54.08, -54.94, 0.00, 0.00,(0 0)
326, 325392792, -54.83, -54.68, -55.04, 0.00, 0.00,(0 0)
327, 326393693, -55.00, -54.88, -55.27, 0.00, 0.00,(0 0)
328, 327394594, -55.29, -55.28, -55.76, 0.00, 0.00,(0 0)
329, 328395495, -55.37, -54.93, -55.44, 0.00, 0.00,(0 0)
330, 329396396, -55.53, -55.47, -55.95, 0.00, 0.00,(0 0)
331, 330397297, -55.38, -55.28, -55.69, 0.00, 0.00,(0 0)
332, 331398198, -55.44, -55.13, -55.79, 0.00, 0.00,(0 0)
333, 332399099, -55.60, -55.59, -56.11, 0.00, 0.00,(0 0)
334, 333400000, -55.81, -55.66, -56.23, 0.00, 0.00,(0 0)
335, 334400900, -55.83, -55.79, -56.34, 0.00, 0.00,(0 0)
336, 335401801, -55.85, -55.85, -56.24, 0.00, 0.00,(0 0)
337, 336402702, -55.85, -55.73, -56.08, 0.00, 0.00,(0 0)
338, 337403603, -55.77, -55.67, -56.01, 0.00, 0.00,(0 0)
339, 338404504, -55.67, -55.30, -56.09, 0.00, 0.00,(0 0)
340, 339405405, -55.81, -55.45, -56.12, 0.00, 0.00,(0 0)
341, 340406306, -55.91, -55.65, -56.27, 0.00, 0.00,(0 0)
342, 341407207, -56.22, -56.10, -56.46, 0.00, 0.00,(0 0)
343, 342408108, -56.02, -55.90, -56.11, 0.00, 0.00,(0 0)
344, 343409009, -55.79, -55.49, -56.17, 0.00, 0.00,(0 0)
345, 344409909, -54.95, -54.51, -55.57, 0.00, 0.00,(0 0)
346, 345410810, -55.51, -55.48, -55.84, 0.00, 0.00,(0 0)
347, 346411711, -55.56, -55.44, -55.84, 0.00, 0.00,(0 0)
348, 347412612, -54.83, -54.81, -55.43, 0.00, 0.00,(0 0)
349, 348413513, -49.76, -49.46, -51.96, 0.00, 0.00,(0 0)
350, 349414414, -51.95, -51.86, -53.39, 0.00, 0.00,(0 0)
351, 350415315, -55.33, -55.20, -55.44, 0.00, 0.00,(0 0)
352, 351416216, -55.22, -55.06, -55.41, 0.00, 0.00,(0 0)
353, 352417117, -55.06, -54.87, -55.50, 0.00, 0.00,(0 0)
354, 353418018, -55.01, -54.92, -55.73, 0.00, 0.00,(0 0)
355, 354418918, -54.98, -54.95, -55.19, 0.00, 0.00,(0 0)
356, 355419819, -54.92, -54.50, -55.22, 0.00, 0.00,(0 0)
357, 356420720, -55.05, -54.80, -55.78, 0.00, 0.00,(0 0)
358, 357421621, -54.92, -54.52, -55.89, 0.00, 0.00,(0 0)
359, 358422522, -54.87, -54.77, -54.96, 0.00, 0.00,(0 0)
360, 359423423, -54.65, -54.54, -54.84, 0.00, 0.00,(0 0)
361, 360424324, -52.89, -52.14, -53.47, 0.00, 0.00,(0 0)
362, 361425225, -51.13, -50.12, -51.58, 0.00, 0.00,(0 0)
363, 362426126, -51.22, -50.65, -51.98, 0.00, 0.00,(0 0)
364, 363427027, -51.05, -50.67, -51.16, 0.00, 0.00,(0 0)
